speed,rpm
27.90701,1227.088
27.90179,1226.508
27.89656,1226.153
27.89134,1225.845
27.8861,1225.888
27.88085,1225.442
27.87565,1225.034
27.87042,1225.089
27.86519,1224.568
27.85999,1224.031
27.85477,1223.779
27.84956,1223.463
27.84432,1223.46
27.83907,1223.402
27.83384,1222.891
27.82861,1222.864
27.8234,1222.398
27.81815,1222.396
27.8129,1221.843
27.80751,1221.803
27.80214,1221.242
27.79674,1221.284
27.79134,1221.022
27.78596,1220.525
27.7806,1220.369
27.77535,1220.341
27.77014,1219.886
27.76489,1219.805
27.75969,1219.438
27.75445,1219.324
27.7492,1218.908
27.74383,1218.531
27.73848,1218.124
27.73309,1218.198
27.7277,1218.162
27.72233,1217.599
27.71697,1217.708
27.71176,1217.202
27.70654,1216.936
27.70133,1216.98
27.69612,1216.492
27.69092,1216.18
27.6857,1216.104
27.68052,1215.574
27.67529,1215.807
27.67007,1215.593
27.66487,1215.455
27.65968,1214.891
27.65448,1214.655
27.64927,1214.404
27.64408,1214.373
27.63888,1213.96
27.6337,1213.602
27.62849,1213.672
27.62329,1213.073
27.61796,1212.692
27.6126,1212.851
27.60726,1212.397
27.60192,1212.327
27.59658,1212.221
27.59123,1211.751
27.58589,1211.756
27.58055,1211.271
27.57523,1211.091
27.56987,1211.113
27.56454,1210.625
27.55921,1210.431
27.55404,1210.128
27.54888,1209.896
27.54369,1209.875
27.53853,1209.606
27.53333,1209.481
27.52816,1208.897
27.52284,1209
27.5175,1208.599
27.51219,1208.332
27.50686,1208.101
27.50154,1207.985
27.49622,1207.599
27.49089,1207.458
27.48559,1206.957
27.48028,1206.781
27.47495,1206.654
27.46965,1206.222
27.46434,1206.117
27.45902,1205.958
27.45371,1205.726
27.44841,1205.677
27.44309,1205.51
27.4378,1205.007
27.43249,1205.053
27.42718,1204.75
27.42189,1204.189
27.41658,1204.338
27.41128,1204.186
27.40599,1203.964
27.40069,1203.686
27.39537,1203.456
27.39008,1203.089
27.38478,1202.721
27.37948,1202.604
27.37419,1202.028
27.36891,1201.832
27.3636,1201.978
27.35831,1201.474
27.35304,1201.297
27.34773,1201.35
27.34243,1200.813
27.33717,1200.623
27.33205,1200.336
27.32691,1200.515
27.3218,1200.258
27.31666,1200.095
27.31154,1199.688
27.30643,1199.106
27.30132,1199.156
27.29622,1198.849
27.29107,1198.822
27.28595,1198.716
27.28083,1198.35
27.27571,1197.557
27.27045,1197.544
27.26518,1197.435
27.25988,1197.436
27.25461,1196.846
27.24934,1196.832
27.24406,1196.823
27.23879,1196.507
27.23352,1196.062
27.22825,1195.963
27.22299,1195.49
27.21771,1195.594
27.21245,1195.252
27.20718,1195.069
27.20194,1194.66
27.1967,1194.173
27.19145,1194.089
27.18618,1193.891
27.18093,1194.029
27.17584,1193.595
27.17074,1193.342
27.16565,1193.318
27.16055,1193.044
27.15547,1192.822
27.15036,1192.392
27.14511,1192.24
27.13988,1191.828
27.13463,1191.907
27.12937,1191.764
27.12413,1191.404
27.1189,1191.023
27.11381,1190.982
27.10872,1190.536
27.10363,1190.658
27.09853,1190.278
27.09346,1189.841
27.08839,1189.427
27.0833,1189.289
27.07824,1189.034
27.07316,1188.972
27.06806,1189.145
27.06299,1188.571
27.0579,1188.452
27.05268,1188.325
27.04743,1188.159
27.04222,1187.974
27.03698,1187.726
27.03176,1187.229
27.02655,1187.155
27.02148,1186.612
27.01641,1186.518
27.01135,1186.208
27.0063,1186.004
27.00123,1186.132
26.99617,1185.704
26.9911,1185.627
26.98606,1185.204
26.98099,1185.266
26.97593,1184.697
26.97088,1184.556
26.9658,1184.464
26.96076,1184.312
26.95571,1183.918
26.95065,1183.892
26.94559,1183.491
26.94054,1183.235
26.93546,1183.198
26.93027,1182.656
26.92507,1182.461
26.91985,1182.253
26.91464,1182.253
26.90944,1181.781
26.90425,1181.68
26.89922,1181.299
26.89415,1181.481
26.88911,1181.098
26.88408,1180.61
26.87904,1180.511
26.87402,1180.332
26.86896,1180.2
26.86394,1179.917
26.85889,1179.631
26.85385,1179.659
26.84882,1179.234
26.84379,1178.959
26.83876,1178.985
26.83372,1178.479
26.82869,1178.479
26.82367,1178.046
26.81864,1177.918
26.81358,1177.826
26.8084,1177.357
26.80322,1177.381
26.79804,1176.885
26.79285,1176.896
26.78767,1176.431
26.7825,1176.486
26.77749,1175.955
26.77248,1175.865
26.76744,1175.809
26.76244,1175.431
26.75741,1175.362
26.75238,1175.014
26.74721,1174.627
26.74203,1174.756
26.73685,1174.435
26.7317,1173.866
26.72654,1173.597
26.72138,1173.653
26.71636,1173.304
26.71136,1173.159
26.70635,1173.237
26.70134,1172.859
26.69634,1172.706
26.69131,1172.35
26.68616,1172.191
26.681,1171.855
26.67583,1171.879
26.67068,1171.337
26.66552,1171.049
26.66038,1171.174
26.65539,1170.762
26.65039,1170.731
26.6454,1170.209
26.64042,1169.784
26.63543,1169.697
26.63045,1169.412
26.62543,1169.567
26.62045,1169.225
26.61545,1168.871
26.61048,1168.749
26.60548,1168.863
26.60049,1168.415
26.59534,1167.981
26.59021,1167.696
26.58504,1167.682
26.57991,1167.535
26.57477,1167.011
26.56966,1166.941
26.56467,1166.766
26.55969,1166.682
26.55472,1166.483
26.54975,1165.996
26.54477,1166.025
26.5398,1165.482
26.53467,1165.572
26.52952,1165.209
26.52441,1164.903
26.51927,1164.823
26.51416,1164.556
26.50904,1164.633
26.50408,1164.298
26.49914,1163.733
26.49421,1163.416
26.48922,1163.586
26.48429,1163.056
26.47931,1163.249
26.47435,1162.826
26.46939,1162.609
26.46444,1162.479
26.45948,1162.198
26.45453,1161.972
26.44956,1161.748
26.44462,1161.642
26.43966,1161.417
26.43472,1161.246
26.42977,1161.002
26.42483,1160.564
26.41988,1160.6
26.41492,1160.383
26.40995,1159.885
26.40498,1159.933
26.40003,1159.638
26.39509,1159.268
26.39003,1159.071
26.38447,1158.827
26.37885,1158.438
26.37321,1158.392
26.36758,1157.93
26.36197,1157.575
26.35591,1157.188
26.34783,1156.77
26.33937,1156.311
26.33092,1155.805
26.32245,1155.376
26.31399,1155.112
26.30534,1154.384
26.29549,1153.763
26.28542,1153.46
26.27534,1153.184
26.26526,1152.56
26.25519,1152.33
26.24512,1151.792
26.23507,1151.127
26.22501,1150.989
26.21495,1150.37
26.20488,1150.062
26.19484,1149.406
26.18495,1149.048
26.17581,1148.895
26.16677,1148.507
26.15777,1148.261
26.14876,1147.674
26.13976,1147.383
26.13074,1147.111
26.12175,1146.504
26.11274,1146.423
26.10373,1145.769
26.09474,1145.49
26.08572,1145.214
26.07674,1144.614
26.06773,1144.421
26.05875,1143.755
26.04976,1143.46
26.04074,1143.113
26.03175,1142.861
26.02275,1142.27
26.01377,1141.819
26.00476,1141.708
25.99578,1141.073
25.98678,1140.831
25.97781,1140.331
